genus,species,ovule_number,confidence,life_history,mating_system
Dendrobium,Dendrobium chrysotoxum,NA,5,perennial,outcrossing
Dendrobium,Dendrobium farmeri,NA,5,perennial,outcrossing
Dendrobium,Dendrobium linguella,NA,5,perennial,outcrossing
Dendrobium,Dendrobium secundum,NA,5,perennial,outcrossing
Epidendrum,Epidendrum calanthum,NA,5,perennial,mixed-mating
Epidendrum,Epidendrum cochlidium,NA,5,perennial,mixed-mating
Epidendrum,Epidendrum denticulatum,NA,5,perennial,mixed-mating
Epidendrum,Epidendrum madsenii,NA,5,perennial,mixed-mating
Epidendrum,Epidendrum orchidiflorum,NA,5,perennial,mixed-mating
Epidendrum,Epidendrum rhopalostele,NA,5,perennial,mixed-mating
Epidendrum,Epidendrum schistochilum,NA,5,perennial,mixed-mating
Epidendrum,Epidendrum secundum,NA,5,perennial,mixed-mating
Epidendrum,Epidendrum xanthinum,NA,5,perennial,mixed-mating
Gymnadenia,Gymnadenia odoratissima,NA,5,perennial,mixed-mating
Habenaria,Habenaria davidii,NA,5,perennial,mixed-mating
Habenaria,Habenaria delavayi,NA,5,perennial,mixed-mating
Habenaria,Habenaria fordii,NA,5,perennial,mixed-mating
Habenaria,Habenaria limprichtii,NA,5,perennial,mixed-mating
Satyrium,Satyrium bicorne,NA,5,perennial,outcrossing
Satyrium,Satyrium coriifolium,NA,5,perennial,outcrossing
Satyrium,Satyrium erectum,NA,5,perennial,outcrossing
Serapias,Serapias cordigera,NA,5,perennial,mixed-mating
Serapias,Serapias vomeracea,NA,5,perennial,mixed-mating
Pedicularis,Pedicularis gruina,21.12,1,perennial,mixed-mating
Pedicularis,Pedicularis longiflora,30.64,1,annual,mixed-mating
Pedicularis,Pedicularis rhinanthoides,28.54,1,perennial,mixed-mating
Pedicularis,Pedicularis tricolor,23.7123706,1,annual,mixed-mating
Rhinanthus,Rhinanthus major,18,3,annual,outcrossing
Rhinanthus,Rhinanthus minor,20,3,annual,selfing
Pedicularis,Pedicularis comptoniifolia,NA,4,perennial,mixed-mating
Pedicularis,Pedicularis cranolopha,NA,4,perennial,mixed-mating
Pedicularis,Pedicularis tenuisecta,NA,4,perennial,mixed-mating
Oxalis,Oxalis blastorrhiza,15,1,perennial,outcrossing
Oxalis,Oxalis campicola,30,1,perennial,outcrossing
Oxalis,Oxalis gracilis,15,1,perennial,outcrossing
Oxalis,Oxalis metcalfei,10,1,perennial,outcrossing
Oxalis,Oxalis noctiflora,15,1,perennial,outcrossing
Oxalis,Oxalis tenella,20,1,perennial,outcrossing
Oxalis,Oxalis xantha,30,1,perennial,outcrossing
Erythranthe,Erythranthe cuprea,144,3,annual,mixed-mating
Erythranthe,Erythranthe guttata,920,1,perennial,selfing
Erythranthe,Erythranthe lewisii,561,1,perennial,mixed-mating
Erythranthe,Erythranthe lutea,2140.32,1,perennial,mixed-mating
Erythranthe,Erythranthe nasuta,689,1,annual,mixed-mating
Erythranthe,Erythranthe nudata,166,1,annual,outcrossing
Erythranthe,Erythranthe tilingii,397,1,perennial,outcrossing
Diplacus,Diplacus brevipes,433,3,annual,outcrossing
Diplacus,Diplacus fremontii,203,3,annual,outcrossing
Diplacus,Diplacus johnstonii,42,3,annual,outcrossing
Erythranthe,Erythranthe caespitosa,230,3,perennial,outcrossing
Erythranthe,Erythranthe decora,725,3,perennial,mixed-mating
Erythranthe,Erythranthe minor,500,3,perennial,mixed-mating
Erythranthe,Erythranthe verbenacea,1000,3,perennial,mixed-mating
Antirrhinum,Antirrhinum controversum,346.04,1,perennial,outcrossing
Antirrhinum,Antirrhinum majus,262.3,1,annual,outcrossing
Antirrhinum,Antirrhinum pulverulentum,176.4,1,woody,outcrossing
Antirrhinum,Antirrhinum valentinum,219.8,1,perennial,outcrossing
Penstemon,Penstemon davidsonii,80,3,woody,mixed-mating
Penstemon,Penstemon newberryi,55,3,woody,mixed-mating
Elymus,Elymus ciliaris,1,1,annual,selfing
Elymus,Elymus pendulinus,1,1,annual,selfing
Elymus,Elymus tenuispicus,1,1,annual,selfing
Ipomopsis,Ipomopsis aggregata,22,1,perennial,outcrossing
Phlox,Phlox cuspidata,3,1,annual,mixed-mating
Phlox,Phlox divaricata,3,1,perennial,outcrossing
Phlox,Phlox pilosa,3,1,perennial,outcrossing
Phlox,Phlox roemeriana,4,1,annual,outcrossing
Phlox,Phlox amoena,3,2,perennial,outcrossing
Phlox,Phlox drummondii,4,2,annual,outcrossing
Phlox,Phlox glaberrima,3,2,perennial,outcrossing
Phlox,Phlox maculata,3,2,perennial,outcrossing
Ipomopsis,Ipomopsis arizonica,NA,4,perennial,outcrossing
Ipomopsis,Ipomopsis tenuituba,NA,4,perennial,outcrossing
Leptosiphon,Leptosiphon floribundus,NA,5,perennial,mixed-mating
Leptosiphon,Leptosiphon melingii,NA,5,perennial,mixed-mating
Leptosiphon,Leptosiphon nuttallii,NA,5,perennial,mixed-mating
Leptosiphon,Leptosiphon pachyphyllus,NA,5,perennial,mixed-mating
Potamogeton,Potamogeton perfoliatus,1,1,woody,selfing
Potamogeton,Potamogeton wrightii,1,1,annual,selfing
Primula,Primula elatior,63.67070707,1,perennial,outcrossing
Primula,Primula vulgaris,55.37692308,1,perennial,outcrossing
Primula,Primula anisodora,NA,4,perennial,outcrossing
Primula,Primula poissonii,NA,4,perennial,outcrossing
Aquilegia,Aquilegia caerulea,37,1,perennial,mixed-mating
Aquilegia,Aquilegia canadensis,25,1,perennial,mixed-mating
Aquilegia,Aquilegia ecalcarata,17.89,1,perennial,mixed-mating
Aquilegia,Aquilegia formosa,33,1,perennial,mixed-mating
Aquilegia,Aquilegia vulgaris,24.5,1,perennial,mixed-mating
Aquilegia,Aquilegia alpina,NA,4,perennial,mixed-mating
Aquilegia,Aquilegia baikalensis,NA,4,perennial,mixed-mating
Aquilegia,Aquilegia chaplinei,NA,4,perennial,mixed-mating
Aquilegia,Aquilegia chrysantha,NA,4,perennial,mixed-mating
Aquilegia,Aquilegia elegantula,NA,4,perennial,mixed-mating
Aquilegia,Aquilegia flabellata,NA,4,perennial,mixed-mating
Aquilegia,Aquilegia japonica,NA,4,perennial,mixed-mating
Aquilegia,Aquilegia longissima,NA,4,perennial,mixed-mating
Aquilegia,Aquilegia pubescens,NA,4,perennial,mixed-mating
Ziziphus,Ziziphus jujuba,2,1,woody,outcrossing
Ziziphus,Ziziphus mauritiana,2,1,woody,outcrossing
Mussaenda,Mussaenda kwangtungensis,518,1,perennial,outcrossing
Mussaenda,Mussaenda pubescens,485.2,1,perennial,outcrossing
Salix,Salix amygdaloides,17,1,woody,outcrossing
Salix,Salix eriocephala,14,1,woody,outcrossing
Salix,Salix exigua,21,1,woody,outcrossing
Salix,Salix lucida,21,1,woody,outcrossing
Salix,Salix petiolaris,9,1,woody,outcrossing
Buddleja,Buddleja crispa,173.60714,1,woody,outcrossing
Buddleja,Buddleja officinalis,139.458,1,woody,outcrossing
Iochroma,Iochroma cyaneum,368.7,1,woody,outcrossing
Iochroma,Iochroma gesnerioides,264.7,1,woody,outcrossing
Jaltomata,Jaltomata calliantha,489,1,perennial,mixed-mating
Jaltomata,Jaltomata darcyana,163,1,perennial,mixed-mating
Jaltomata,Jaltomata dendroidea,304,1,woody,mixed-mating
Jaltomata,Jaltomata procumbens,135,1,perennial,mixed-mating
Jaltomata,Jaltomata quipuscoae,302,1,perennial,mixed-mating
Jaltomata,Jaltomata repandidentata,111.4,1,perennial,mixed-mating
Jaltomata,Jaltomata sinuosa,153,1,woody,mixed-mating
Jaltomata,Jaltomata umbellata,74,1,woody,mixed-mating
Jaltomata,Jaltomata yungayensis,78,1,woody,mixed-mating
