Species_1,Species_2,K2P_Distance
Leavenworthia alabamica,Leavenworthia crassa,0
Leptosiphon nuttallii,Leptosiphon floribundus,0.027778
Leptosiphon pachyphyllus,Leptosiphon melingii,0.007859
Leucaena collinsii,Leucaena lanceolata,0.243607
Leucaena diversifolia,Leucaena pulverulenta,0.149875
Leucaena greggii,Leucaena retusa,0.040779
Leucaena leucocephala,Leucaena pallida,0.217026
Leucaena macrophylla,Leucaena trichodes,0.007707
Leucaena multicapitula,Leucaena salvadorensis,0.14108
Lupinus palaestinus,Lupinus pilosus,0
Lythrum alatum,Lythrum salicaria,0.073997
Mussaenda pubescens,Mussaenda kwangtungensis,0.004032
Narcissus miniatus,Narcissus cavanillesii,0.260421
Neotinea ustulata,Neotinea tridentata,0
Nicotiana bonariensis,Nicotiana forgetiana,0.007737
Nicotiana langsdorffii,Nicotiana alata,0.003876
Nicotiana plumbaginifolia,Nicotiana longiflora,0
Nicotiana plumbaginifolia,Nicotiana longiflora,0
Oenothera hexandra,Oenothera suffulta,0.007794
Ophrys holoserica,Ophrys tenthredinifera,0.011719
Opuntia elata,Opuntia anacantha,0.016577
Orchis italica,Orchis anthropophora,0.01155
Orchis mascula,Orchis provincialis,0.023304
Ostryopsis davidiana,Ostryopsis nobilis,0.015456
Oxalis campicola,Oxalis xantha,0.003846
Oxalis metcalfei,Oxalis gracilis,0.031301
Pedicularis cranolopha,Pedicularis tricolor,0.007678
Pedicularis gruina,Pedicularis tenuisecta,0.01537
Pelargonium pinnatum,Pelargonium carneum,0.00811
Penstemon davidsonii,Penstemon newberryi,0.007674
Petunia axillaris,Petunia integrifolia,0.029131
Phlox amoena,Phlox divaricata,0.003922
Phlox cuspidata,Phlox roemeriana,0.011719
Platanthera bifolia,Platanthera chlorantha,0
Potamogeton perfoliatus,Potamogeton wrightii,0.02786
Primula elatior,Primula vulgaris,0.03527
Quercus robur,Quercus petraea,0.011628
Rhinanthus minor,Rhinanthus major,0.025335
Rhinanthus minor,Rhinanthus major,0.025335
Rhododendron spiciferum,Rhododendron spinuliferum,0.015637
Roscoea purpurea,Roscoea tumjensis,0.033639
Sagittaria pygmaea,Sagittaria trifolia,0.064646
Salix amygdaloides,Salix exigua,0.072591
Salix eriocephala,Salix lucida,0.027182
Salvia digitaloides,Salvia flava,0.003922
Salvia elegans,Salvia fulgens,0.086485
Satyrium erectum,Satyrium bicorne,0.011719
Schiedea globosa,Schiedea menziesii,0
Schiedea kealiae,Schiedea kaalae,0.016045
Schizanthus hookeri,Schizanthus grahamii,0.015505
Sedum albomarginatum,Sedum obtusatum,NA
Senecio squalidus,Senecio glaucus,0.003861
Serapias cordigera,Serapias vomeracea,0.003887
Silene latifolia,Silene dioica,0.012109
Silene latifolia,Silene dioica,0.012109
Silene pusilla,Silene veselskyi,0.007707
Sinalliaria limprichtiana,Sinalliaria grandifolia,NA
Solanum berthaultii,Solanum chacoense,0.019258
Solanum betaceum,Solanum unilobum,0
Solanum corymbiflorum,Solanum diploconos,0.023304
Solanum microdontum,Solanum kurtzianum,0.064247
Streptanthus brachiatus,Streptanthus barbiger,0.011595
Streptanthus drepanoides,Streptanthus breweri,0.003842
Streptanthus flavescens,Streptanthus anceps,0.007703
Streptanthus hesperidis,Streptanthus batrachopus,0.015699
Streptanthus inflatus,Streptanthus coulteri,0.019438
Streptanthus tortuosus,Streptanthus diversifolius,0
Streptanthus vernalis,Streptanthus morrisonii,0
Stylidium graminifolium,Stylidium productum,NA
Taraxacum ceratophorum,Taraxacum officinale,0.014223
Trillium apetalon,Trillium tschonoskii,0.024101
Verbena stricta,Verbena bracteata,0.277914
Vriesea scalaris,Vriesea simplex,NA
Ziziphus mauritiana,Ziziphus jujuba,0.059997
