O,psi,alpha,mean_K,Omega,mean_Sz_perflower,Sz_at_meanK,frac_competitive,Ostar
244.0,0.003,1.25,5.956079918032787,0.7565492515052253,1.3648154899151164,1.49519573411961,0.9835,0.19753086419753085
365.0,0.003,1.25,6.5905438356164385,0.7763034081015917,1.4178855505199326,1.548435250056163,0.988,0.19753086419753085
544.0,0.003,1.25,7.235548713235294,0.7956129565446679,1.4704197669916257,1.5963930838927722,0.9905,0.19753086419753085
812.0,0.003,1.25,7.865455665024631,0.8120825431189609,1.516944868727553,1.6383914390309489,0.994,0.19753086419753085
1212.0,0.003,1.25,8.824731435643564,0.8336601431085996,1.5818849128141725,1.6950190786028942,0.996,0.19753086419753085
1809.0,0.003,1.25,9.71945024875622,0.8475709084358366,1.6316784468636234,1.7414720877309826,0.9945,0.19753086419753085
2701.0,0.003,1.25,10.822389485375787,0.8671400804341055,1.6932586943183965,1.7921032232103684,0.9985,0.19753086419753085
4031.0,0.003,1.25,11.903412924832548,0.8746745527665856,1.7306716283620174,1.836059627010081,0.9975,0.19753086419753085
6016.0,0.003,1.25,13.121060339095743,0.8856823876027372,1.7784983889485753,1.8802073090561966,0.9975,0.19753086419753085
8979.0,0.003,1.25,14.262508631250697,0.8918227032081122,1.810919692419985,1.917393870564989,0.9975,0.19753086419753085
13400.0,0.003,1.25,16.18821589552239,0.9075304449799192,1.876885409576378,1.9728091876231146,0.999,0.19753086419753085
20000.0,0.003,1.25,17.963887,0.9182675153243938,1.9269145156415488,2.017455336739453,0.9995,0.19753086419753085
2.0,0.01,0.25,2.99825,0.5130749909289186,0.870957191654433,1.0904141259561304,0.794,8.549879733383484
3.0,0.01,0.25,2.1843333333333335,0.40753979314410627,0.6768858538865759,0.8665443290710311,0.718,8.549879733383484
4.0,0.01,0.25,1.747125,0.32435419977001173,0.5341321681817821,0.6855023377645958,0.6485,8.549879733383484
7.0,0.01,0.25,1.1703571428571429,0.1840271208568634,0.30214281617922073,0.2674434779333307,0.479,8.549879733383484
10.0,0.01,0.25,0.8987,0.10734123374889407,0.17767420451806384,0.0,0.3365,8.549879733383484
15.0,0.01,0.25,0.6656,0.045111860583238454,0.07620308291328307,0.0,0.1865,8.549879733383484
22.0,0.01,0.25,0.4834545454545454,0.01282397655086217,0.022210332359112076,0.0,0.0655,8.549879733383484
33.0,0.01,0.25,0.36666666666666664,0.0017155960501299106,0.0031508556099685285,0.0,0.014,8.549879733383484
49.0,0.01,0.25,0.2672857142857143,0.00028537917144379443,0.000520664662933652,0.0,0.0025,8.549879733383484
73.0,0.01,0.25,0.20253424657534247,0.0,0.0,0.0,0.0,8.549879733383484
110.0,0.01,0.25,0.14636818181818181,0.0,0.0,0.0,0.0,8.549879733383484
164.0,0.01,0.25,0.10673170731707317,0.0,0.0,0.0,0.0,8.549879733383484
244.0,0.01,0.25,0.08110040983606558,0.0,0.0,0.0,0.0,8.549879733383484
365.0,0.01,0.25,0.061061643835616436,0.0,0.0,0.0,0.0,8.549879733383484
544.0,0.01,0.25,0.045157169117647056,0.0,0.0,0.0,0.0,8.549879733383484
812.0,0.01,0.25,0.032560960591133004,0.0,0.0,0.0,0.0,8.549879733383484
1212.0,0.01,0.25,0.024635726072607264,0.0,0.0,0.0,0.0,8.549879733383484
1809.0,0.01,0.25,0.017909618573797678,0.0,0.0,0.0,0.0,8.549879733383484
2701.0,0.01,0.25,0.01374713069233617,0.0,0.0,0.0,0.0,8.549879733383484
4031.0,0.01,0.25,0.009951128752170676,0.0,0.0,0.0,0.0,8.549879733383484
6016.0,0.01,0.25,0.007265708111702128,0.0,0.0,0.0,0.0,8.549879733383484
8979.0,0.01,0.25,0.0053405724468203585,0.0,0.0,0.0,0.0,8.549879733383484
13400.0,0.01,0.25,0.004029626865671642,0.0,0.0,0.0,0.0,8.549879733383484
20000.0,0.01,0.25,0.0029400999999999997,0.0,0.0,0.0,0.0,8.549879733383484
2.0,0.01,0.5,3.65325,0.5800152049483798,1.0012256338524461,1.2162021520398207,0.844,25.0
3.0,0.01,0.5,2.888333333333333,0.5075512390387394,0.8579997471251142,1.0655736051699176,0.8175,25.0
4.0,0.01,0.5,2.47825,0.4602267366028157,0.7691553678842673,0.9596180067323915,0.7985,25.0
7.0,0.01,0.5,1.8901428571428571,0.3581018109055009,0.5910809648421658,0.7520564083591486,0.7255,25.0
