family,genus,PI_name,pair_key,measure,maternal_species,paternal_species,intra_maternal,inter_cross,success_ratio_inter_over_intra,directional_RI,maternal_ovules,paternal_ovules,signed_log10_ovule_ratio_maternal_minus_paternal,maternal_confidence,paternal_confidence,maternal_life_history,paternal_life_history,maternal_mating_system,paternal_mating_system,K2P_Distance,is_PI_from_PI_name,direction_complete_no_K2P,direction_complete_with_K2P
Gesneriaceae,Achimenes,,achimenes antirrhina || achimenes flava,fruit set,Achimenes antirrhina,Achimenes flava,52.83,10.84,0.2051864470944539,0.7948135529055461,,304.0,,4.0,3.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Costaceae,Costus,,costus elegans || costus laevis,seed number per fruit,Costus laevis,Costus elegans,80.2,4.7,0.05860349127182045,0.9413965087281796,,,,4.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Costaceae,Costus,,costus elegans || costus laevis,seed number per fruit,Costus elegans,Costus laevis,32.3,9.5,0.29411764705882354,0.7058823529411764,,,,4.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Costaceae,Costus,,costus laevis || costus pulverulentus,seed number per fruit,Costus laevis,Costus pulverulentus,6.7,4.9,0.7313432835820896,0.26865671641791045,,23.9,,4.0,3.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Costaceae,Costus,,costus laevis || costus pulverulentus,seed number per fruit,Costus pulverulentus,Costus laevis,,,,,23.9,,,3.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Costaceae,Costus,,costus laevis || costus scaber,seed number per fruit,Costus laevis,Costus scaber,6.7,2.17,0.32388059701492533,0.6761194029850747,,10.7,,4.0,3.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Costaceae,Costus,,costus laevis || costus scaber,seed number per fruit,Costus scaber,Costus laevis,,,,,10.7,,,3.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Costaceae,Costus,,costus pulverulentus || costus scaber,seed set,Costus pulverulentus,Costus scaber,19.79,0.49,0.024759979787771603,0.9752400202122284,23.9,10.7,0.349014123262928,3.0,3.0,perennial,perennial,mixed-mating,mixed-mating,,False,True,False
Costaceae,Costus,,costus pulverulentus || costus scaber,seed set,Costus scaber,Costus pulverulentus,7.02,1.45,0.20655270655270655,0.7934472934472935,10.7,23.9,-0.349014123262928,3.0,3.0,perennial,perennial,mixed-mating,mixed-mating,,False,True,False
Costaceae,Costus,Costus03,costus scaber || costus woodsonii,seed number per fruit,Costus scaber,Costus woodsonii,6.1,6.5,1.0655737704918034,-0.06557377049180335,10.7,25.4,-0.37544993893472833,3.0,1.0,perennial,perennial,mixed-mating,mixed-mating,0.004,True,True,True
Costaceae,Costus,Costus03,costus scaber || costus woodsonii,seed number per fruit,Costus woodsonii,Costus scaber,8.8,2.1,0.23863636363636362,0.7613636363636364,25.4,10.7,0.37544993893472833,1.0,3.0,perennial,perennial,mixed-mating,mixed-mating,0.004,True,True,True
Costaceae,Costus,,costus lasius || costus scaber,seed number per fruit,Costus scaber,Costus lasius,12.8,12.2,0.9531249999999999,0.04687500000000011,10.7,,,3.0,4.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Costaceae,Costus,,costus lasius || costus scaber,seed number per fruit,Costus lasius,Costus scaber,,,,,,10.7,,4.0,3.0,perennial,perennial,mixed-mating,mixed-mating,,False,False,False
Gesneriaceae,Cyrtandra,Cyrtandra,cyrtandra kauaiensis || cyrtandra longifolia,fruit set,Cyrtandra kauaiensis,Cyrtandra longifolia,56.0,48.7,0.8696428571428572,0.13035714285714284,2000.0,260.0,0.8860566476931635,3.0,3.0,woody,woody,outcrossing,outcrossing,0.035383,True,True,True
Gesneriaceae,Cyrtandra,Cyrtandra,cyrtandra kauaiensis || cyrtandra longifolia,fruit set,Cyrtandra longifolia,Cyrtandra kauaiensis,32.2,20.8,0.6459627329192547,0.35403726708074534,260.0,2000.0,-0.8860566476931635,3.0,3.0,woody,woody,outcrossing,outcrossing,0.035383,True,True,True
Gesneriaceae,Cyrtandra,,cyrtandra paludosa || cyrtandra platyphylla,fruit set,Cyrtandra paludosa,Cyrtandra platyphylla,47.3,39.7,0.839323467230444,0.16067653276955596,750.0,1700.0,-0.355387657986574,3.0,3.0,woody,woody,outcrossing,outcrossing,,False,True,False
Gesneriaceae,Cyrtandra,,cyrtandra paludosa || cyrtandra platyphylla,fruit set,Cyrtandra platyphylla,Cyrtandra paludosa,15.6,22.3,1.4294871794871795,-0.4294871794871795,1700.0,750.0,0.355387657986574,3.0,3.0,woody,woody,outcrossing,outcrossing,,False,True,False
Orchidaceae,Dactylorhiza,Dactylorhiza,dactylorhiza incarnata || dactylorhiza maculata,seed set,Dactylorhiza maculata,Dactylorhiza incarnata,58.31,43.44,0.7449837077688217,0.2550162922311783,2605.178,7756.0,-0.47380039838464105,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,0.009175,True,True,True
Orchidaceae,Dactylorhiza,Dactylorhiza,dactylorhiza incarnata || dactylorhiza maculata,seed set,Dactylorhiza incarnata,Dactylorhiza maculata,49.42,35.23,0.7128692836908134,0.28713071630918663,7756.0,2605.178,0.47380039838464105,1.0,1.0,perennial,perennial,mixed-mating,mixed-mating,0.009175,True,True,True
Orchidaceae,Dendrobium,,dendrobium farmeri || dendrobium secundum,seed set,Dendrobium farmeri,Dendrobium secundum,0.95,0.0,0.0,1.0,,,,5.0,5.0,perennial,perennial,outcrossing,outcrossing,,False,False,False
Orchidaceae,Dendrobium,,dendrobium farmeri || dendrobium secundum,seed set,Dendrobium secundum,Dendrobium farmeri,0.403529412,,,,,,,5.0,5.0,perennial,perennial,outcrossing,outcrossing,,False,False,False
Orchidaceae,Dendrobium,,dendrobium aphyllum || dendrobium linguella,seed set,Dendrobium linguella,Dendrobium aphyllum,0.98,0.0,0.0,1.0,,,,5.0,5.0,perennial,perennial,outcrossing,outcrossing,,False,False,False
Orchidaceae,Dendrobium,,dendrobium aphyllum || dendrobium linguella,seed set,Dendrobium aphyllum,Dendrobium linguella,0.211111111,,,,,,,5.0,5.0,perennial,perennial,outcrossing,outcrossing,,False,False,False
Orchidaceae,Dendrobium,,dendrobium farmeri || dendrobium linguella,seed set,Dendrobium linguella,Dendrobium farmeri,0.98,0.024,0.02448979591836735,0.9755102040816327,,,,5.0,5.0,perennial,perennial,outcrossing,outcrossing,,False,False,False
Orchidaceae,Dendrobium,,dendrobium farmeri || dendrobium linguella,seed set,Dendrobium farmeri,Dendrobium linguella,0.95,,,,,,,5.0,5.0,perennial,perennial,outcrossing,outcrossing,,False,False,False
Orchidaceae,Dendrobium,,dendrobium linguella || dendrobium secundum,seed set,Dendrobium linguella,Dendrobium secundum,0.98,0.0,0.0,1.0,,,,5.0,5.0,perennial,perennial,outcrossing,outcrossing,,False,False,False
Orchidaceae,Dendrobium,,dendrobium linguella || dendrobium secundum,seed set,Dendrobium secundum,Dendrobium linguella,0.403529412,,,,,,,5.0,5.0,perennial,perennial,outcrossing,outcrossing,,False,False,False
Orchidaceae,Dendrobium,Dendrobium,dendrobium aphyllum || dendrobium secundum,seed set,Dendrobium secundum,Dendrobium aphyllum,0.403529412,0.0,0.0,1.0,,,,5.0,5.0,perennial,perennial,outcrossing,outcrossing,0.270208,True,False,False
