i,j,O_i,O_j,K_i,K_j,F_i,F_j,G,D,dlogO,GxdlogO,A_sobelchen,A_oneminus_hc
32,119,4.300292400045926,16.8920713846717,4.822264267480449,2.433092085168756,1.4136843952136653,1.0976952602942083,0.09529314176724604,0.4764657088362302,1.3681613426099852,0.130376392781799,0.06890050717212665,0.08284732634260872
9,19,614.5601090011195,314.29036775894906,0.40338320901609115,0.5640718988663178,0.33567947674996873,0.43998134304714104,0.0721914994290439,0.3609574971452195,-0.6705894452748407,-0.04841085755568153,-0.018731799530977908,-0.032732319557445155
94,10,884.9771408402388,59.841502682878094,0.336150664066155,1.2927029941180554,0.2877816651440388,0.785192588841013,0.11442738146665177,0.5721369073332588,-2.693862370085247,-0.3082516170404032,-0.1387761570179249,-0.21007565789621552
42,50,48.30827063779244,138.0047120429081,1.4387629798450803,0.8512419979522985,0.8367910136742823,0.5971025949839701,0.26484698764803843,1.3242349382401921,1.0496850490762974,0.27800592322704076,0.12758739640096828,0.123342236381631
29,106,6.54739708296417,54.78709854983507,3.908099926638921,1.3510171103330069,1.3229633808384866,0.8063325646217007,0.10787416142071199,0.5393708071035599,2.1243871595615467,0.22916648337063011,0.12828596766766265,0.15742824780616116
0,74,6.535981386809407,29.711888985284112,3.9115113667256542,1.834572453281875,1.3233540880061654,0.9568589331056866,0.300763990099269,1.5038199504963452,1.5142247584855197,0.4554242802692069,0.1429225276485362,0.1004945604713211
16,43,960.4446286673391,150.19748109941543,0.3226738968420923,0.8159596355774856,0.2778469222741942,0.579525093519426,0.13194820436199936,0.6597410218099968,-1.8554453632213255,-0.2448226839688516,-0.097475293410298,-0.15024707712298846
4,89,7.811498145098851,82.63810421094828,3.5779381841489326,1.1000434190467496,1.2828891486522795,0.7096954915457335,0.0962987986219415,0.48149399310970753,2.3588741148040144,0.22715674335602232,0.130178409956972,0.1713700204990245
46,9,45.53157135369584,614.5601090011195,1.4819845657903166,0.40338320901609115,0.8512298304538556,0.33567947674996873,0.2668963190324374,1.334481595162187,2.602500780720344,0.6945978786533042,0.29356347510749703,0.3178147239080874
35,119,7.794624451253165,16.8920713846717,3.581808825739115,2.433092085168756,1.283386420983284,1.0976952602942083,0.22111082798273354,1.1055541399136677,0.7734100398178216,0.17100933427427745,0.06846010229740052,0.05514574648631165
59,115,9.81088985725043,8.71009627683682,3.192609487827997,3.3883520111700705,1.229674403712352,1.2576580016101422,0.2532100362228825,1.2660501811144127,-0.11901013426216211,-0.03013456040741218,-0.010071268474927564,-0.007337726015576473
68,10,7657.041530303628,59.841502682878094,0.11427980711231808,1.2927029941180554,0.10810282227346377,0.785192588841013,0.2952188532694707,1.4760942663473537,-4.851681519903247,-1.4323078547345194,-0.4426924564807698,-0.5387162388207958
34,79,104.91190277654344,36.45532583139982,0.9763097311638257,1.6562256560846242,0.656053851480074,0.9059756217882032,0.23010909626125933,1.1505454813062967,-1.0570334156810235,-0.2432330040003124,-0.11815659945338708,-0.11747597988559222
64,77,1811.4130482654725,5160.7161600383815,0.23495855040018818,0.13920185197098706,0.2102576357473089,0.13014372799156962,0.24201391747899156,1.2100695873949578,1.0469681302205318,0.2533808586703259,0.04795221199380445,0.07893022401574867
72,48,4.705824020386721,8.716151535000456,4.6098007995147,3.3871748339049756,1.3948380410656724,1.2574957889197484,0.024145887985964454,0.12072943992982227,0.6163769079004062,0.014882967775298336,0.00823767522550893,0.014128256477283996
80,62,21.557252224008096,146.63673580212495,2.153789713594461,0.8258070910538823,1.0370239526308085,0.584475206158463,0.09056945957667453,0.45284729788337263,1.9172460532892455,0.1736439389219191,0.09901273844788319,0.14220913481197384
72,100,4.705824020386721,7.507853127118326,4.6098007995147,3.649573512291569,1.3948380410656724,1.2919819538063628,0.18457808950338947,0.9228904475169474,0.46714866147534373,0.08622540744918458,0.03304882648473939,0.027485022565305606
4,77,7.811498145098851,5160.7161600383815,3.5779381841489326,0.13920185197098706,1.2828891486522795,0.13014372799156962,0.16712035929651875,0.8356017964825937,6.493233870138131,1.0851515773738094,0.4356276075284155,0.554627623667974
28,84,5893.376717502729,110.92667875983251,0.13026204696420243,0.949471635112423,0.12229673541791396,0.6438248965064095,0.20549970803342654,1.0274985401671328,-3.972714977724923,-0.8163917680224924,-0.25646029689627864,-0.36585329653954957
95,14,1175.2937384847537,7.12692661800969,0.2916935250128836,3.745836838683218,0.25456591104278986,1.3038437894597987,0.1169317877555945,0.5846589387779725,-5.105393293405491,-0.5969827649933265,-0.2894274143559469,-0.39512174610561324
74,49,29.711888985284112,19354.123047075387,1.834572453281875,0.0718808577848553,0.9568589331056866,0.06938705718986804,0.2347841627784868,1.173920813892434,6.479113484884619,1.5211932350954391,0.4684870271542387,0.596561820997155
35,93,7.794624451253165,304.9340527000544,3.581808825739115,0.5726602481479452,1.283386420983284,0.44518917611464837,0.3021483520875874,1.510741760437937,3.6666612093823314,1.1078756420783518,0.424299970531671,0.3665301981567971
42,86,48.30827063779244,1936.71477112103,1.4387629798450803,0.22723078434554597,0.8367910136742823,0.2040478121465225,0.19608045435615262,0.9804022717807631,3.691145618921761,0.7237615100529011,0.2889467878911731,0.378431564113655
111,30,53.6919091646798,147.68038729061078,1.364726348943916,0.8228839443404541,0.8111960423600342,0.5830094049670291,0.21491351731134697,1.0745675865567348,1.011788070410863,0.21744693298565937,0.10680923361153638,0.11622199778993303
44,98,8424.95037102489,7.942746297887959,0.10894726302774776,3.5482536206213497,0.10331909662960058,1.279052423787354,0.19061436978048024,0.9530718489024013,-6.9666937677217025,-1.3279519419878718,-0.4945896869232214,-0.6107053889460806
34,20,104.91190277654344,16775.85071809021,0.9763097311638257,0.07720718595173334,0.656053851480074,0.07433749168006909,0.22199574115810655,1.1099787057905328,5.074574697195522,1.126533970966094,0.30758972608483853,0.43802503225493994
15,115,2839.1502326771993,8.71009627683682,0.18767473580055763,3.3883520111700705,0.1715746246270746,1.2576580016101422,0.16917921732260133,0.8458960866130066,-5.786777228134682,-0.9790024422760778,-0.4144103851193568,-0.5197809090113544
95,85,1175.2937384847537,36.16666891634916,0.2916935250128836,1.6628219347046558,0.25456591104278986,0.9079458211985039,0.11601327112192962,0.5800663556096481,-3.4811354390201013,-0.4038579094991965,-0.18371297463062103,-0.2721509879028464
49,109,19354.123047075387,7.535141742564827,0.0718808577848553,3.6429590288862137,0.06938705718986804,1.2911520392893043,0.1680824464612912,0.840412232306456,-7.85108311000394,-1.3196292565003849,-0.46576717573929566,-0.6054859326828435
83,23,46.10783168243363,172.00013324926263,1.4726944510703697,0.7624925563096768,0.8481566528932305,0.5520322974757735,0.16155842991543853,0.8077921495771927,1.31651243129284,0.21269368136382788,0.11042632103613412,0.1362077371733611
