family,genus,species1,species2,duplicate,remove,PI_name,intraspecific_value_sp1,intraspecific_value_sp2,interspecific_value_sp1_sp2,interspecific_value_sp2_sp1,sp1_hybrid_proportion,sp2_hybrid_proportion,RI,measure,remove_flag,is_PI_from_PI_name,sp1_key,sp2_key,pair_key,ovule_sp1,ovule_sp2,confidence_sp1,confidence_sp2,life_history_sp1,life_history_sp2,mating_system_sp1,mating_system_sp2,gd_rows,gd_nonmissing,K2P_Distance,K2P_min,K2P_max,has_both_ovule_numbers,has_nonmissing_K2P,model_ready_PI_K2P_ovules,mean_log10_ovules,abs_log10_ovule_difference,signed_log10_ovule_ratio_sp1_minus_sp2,best_confidence_pair
Ericaceae,Kalmia,Kalmia angustifolia,Kalmia polifolia,no,no,Kalmia01,36.0,69.5,7.0,2.0,,,0.8428,fruit set,False,True,kalmia angustifolia,kalmia polifolia,kalmia angustifolia || kalmia polifolia,110.0,110.0,3.0,3.0,woody,woody,mixed-mating,mixed-mating,1.0,1.0,0.041978,0.041978,0.041978,True,True,True,2.041392685158225,0.0,0.0,3.0
Ericaceae,Kalmia,Kalmia hirsuta,Kalmia latifolia,no,no,Kalmia02,24.0,62.0,18.0,7.0,,,0.5495,fruit set,False,True,kalmia hirsuta,kalmia latifolia,kalmia hirsuta || kalmia latifolia,110.0,110.0,3.0,3.0,woody,woody,mixed-mating,mixed-mating,1.0,1.0,0.052948,0.052948,0.052948,True,True,True,2.041392685158225,0.0,0.0,3.0
Asteraceae,Lactuca,Lactuca virosa,Lactuca saligna,no,no,Lactuca,43.0,100.0,0.0,0.0,,,1.0,fruit set,False,True,lactuca virosa,lactuca saligna,lactuca saligna || lactuca virosa,1.0,1.0,1.0,1.0,annual,annual,selfing,selfing,1.0,1.0,0.043779,0.043779,0.043779,True,True,True,0.0,0.0,0.0,1.0
Brassicaceae,Leavenworthia,Leavenworthia alabamica,Leavenworthia crassa,no,no,Leavenworthia,0.38,0.46,0.41,0.46,,,-0.0175,seed set,False,True,leavenworthia alabamica,leavenworthia crassa,leavenworthia alabamica || leavenworthia crassa,12.0,8.0,1.0,1.0,annual,annual,mixed-mating,mixed-mating,1.0,1.0,0.0,0.0,0.0,True,True,True,0.9911356165197842,0.17609125905568135,0.17609125905568135,1.0
Fabaceae,Leucaena,Leucaena collinsii,Leucaena lanceolata,no,no,Leucaena01,46.7,80.9,54.0,43.0,,,0.1362,seed set,False,True,leucaena collinsii,leucaena lanceolata,leucaena collinsii || leucaena lanceolata,16.5,19.0,1.0,1.0,woody,woody,outcrossing,outcrossing,1.0,1.0,0.243607,0.243607,0.243607,True,True,True,1.2481187725833676,0.061269656738922595,-0.061269656738922595,1.0
Fabaceae,Leucaena,Leucaena diversifolia,Leucaena pulverulenta,no,no,Leucaena02,28.5,93.4,8.0,3.3,,,0.8303,seed set,False,True,leucaena diversifolia,leucaena pulverulenta,leucaena diversifolia || leucaena pulverulenta,20.0,31.0,1.0,1.0,woody,woody,outcrossing,outcrossing,1.0,1.0,0.149875,0.149875,0.149875,True,True,True,1.396195844749127,0.19033169817029139,-0.19033169817029139,1.0
Fabaceae,Leucaena,Leucaena greggii,Leucaena retusa,no,no,Leucaena03,18.0,70.2,0.5,77.0,,,0.0646,seed set,False,True,leucaena greggii,leucaena retusa,leucaena greggii || leucaena retusa,22.0,22.0,1.0,1.0,woody,woody,outcrossing,outcrossing,1.0,1.0,0.040779,0.040779,0.040779,True,True,True,1.3424226808222062,0.0,0.0,1.0
Fabaceae,Leucaena,Leucaena leucocephala,Leucaena pallida,no,no,Leucaena04,131.1,14.8,31.0,37.0,,,0.3642,seed set,False,True,leucaena leucocephala,leucaena pallida,leucaena leucocephala || leucaena pallida,26.0,19.0,1.0,1.0,woody,woody,mixed-mating,mixed-mating,1.0,1.0,0.217026,0.217026,0.217026,True,True,True,1.3468634744618235,0.1362197470179891,0.1362197470179891,1.0
Fabaceae,Leucaena,Leucaena macrophylla,Leucaena trichodes,no,no,Leucaena05,22.0,37.7,16.0,2.1,,,0.5347,seed set,False,True,leucaena macrophylla,leucaena trichodes,leucaena macrophylla || leucaena trichodes,15.0,14.0,1.0,1.0,woody,woody,outcrossing,outcrossing,1.0,1.0,0.007707,0.007707,0.007707,True,True,True,1.1611096473669595,0.029963223377443393,0.029963223377443393,1.0
Fabaceae,Leucaena,Leucaena multicapitula,Leucaena salvadorensis,no,no,Leucaena06,37.7,68.2,1.4,0.0,,,0.9739,seed set,False,True,leucaena multicapitula,leucaena salvadorensis,leucaena multicapitula || leucaena salvadorensis,13.0,23.5,1.0,1.0,woody,woody,outcrossing,outcrossing,1.0,1.0,0.14108,0.14108,0.14108,True,True,True,1.2425056072892866,0.25712450996489955,-0.25712450996489955,1.0
Fabaceae,Lupinus,Lupinus palaestinus,Lupinus pilosus,no,no,Lupinus,0.008,0.17,0.03,0.004,,,0.6792,seed set,False,True,lupinus palaestinus,lupinus pilosus,lupinus palaestinus || lupinus pilosus,6.0,6.0,3.0,3.0,annual,annual,mixed-mating,mixed-mating,1.0,1.0,0.0,0.0,0.0,True,True,True,0.7781512503836436,0.0,0.0,3.0
Lythraceae,Lythrum,Lythrum alatum,Lythrum salicaria,no,no,Lythrum,40.28,,0.69,,,,0.9663,seed set,False,True,lythrum alatum,lythrum salicaria,lythrum alatum || lythrum salicaria,75.0,100.0,3.0,1.0,perennial,perennial,outcrossing,outcrossing,1.0,1.0,0.073997,0.073997,0.073997,True,True,True,1.93753063169585,0.1249387366082999,-0.1249387366082999,3.0
Rubiaceae,Mussaenda,Mussaenda pubescens,Mussaenda kwangtungensis,no,no,Mussaenda,93.0,94.5,23.9,20.9,,,0.6143,fruit set,False,True,mussaenda pubescens,mussaenda kwangtungensis,mussaenda kwangtungensis || mussaenda pubescens,485.2,518.0,1.0,1.0,perennial,perennial,outcrossing,outcrossing,1.0,1.0,0.004032,0.004032,0.004032,True,True,True,2.700125275969884,0.028408967550697994,-0.028408967550697994,1.0
Amaryllidaceae,Narcissus,Narcissus miniatus,Narcissus cavanillesii,no,no,Narcissus,6.96,2.21,0.29,2.43,,,0.5425,seed set,False,True,narcissus miniatus,narcissus cavanillesii,narcissus cavanillesii || narcissus miniatus,50.0,50.0,3.0,3.0,perennial,perennial,mixed-mating,mixed-mating,1.0,1.0,0.260421,0.260421,0.260421,True,True,True,1.6989700043360187,0.0,0.0,3.0
Solanaceae,Nicotiana,Nicotiana bonariensis,Nicotiana forgetiana,no,no,Nicotiana01,0.9,1.0,0.5,0.4,,,0.3571,fruit set,False,True,nicotiana bonariensis,nicotiana forgetiana,nicotiana bonariensis || nicotiana forgetiana,76.0,582.0,3.0,3.0,annual,perennial,outcrossing,outcrossing,1.0,1.0,0.007737,0.007737,0.007737,True,True,True,2.3228682884653398,0.8841093923690972,-0.8841093923690972,3.0
Solanaceae,Nicotiana,Nicotiana langsdorffii,Nicotiana alata,no,no,Nicotiana02,1.0,1.0,0.8,0.6,,,0.1765,fruit set,False,True,nicotiana langsdorffii,nicotiana alata,nicotiana alata || nicotiana langsdorffii,312.0,1732.0,3.0,3.0,annual,perennial,outcrossing,outcrossing,1.0,1.0,0.003876,0.003876,0.003876,True,True,True,2.8663512408498852,0.7443932936628848,-0.7443932936628848,3.0
Solanaceae,Nicotiana,Nicotiana plumbaginifolia,Nicotiana longiflora,yes2,no,Nicotiana03,,,,,0.9261,0.0245,0.0494,pollen competition,False,True,nicotiana plumbaginifolia,nicotiana longiflora,nicotiana longiflora || nicotiana plumbaginifolia,1538.48,2367.92,1.0,1.0,annual,perennial,selfing,mixed-mating,2.0,2.0,0.0,0.0,0.0,True,True,True,3.28072944027591,0.18727517083250333,-0.18727517083250333,1.0
