alpha,psi,architecture,data_structure,asym_model_beta_intercept_mean,asym_model_beta_intercept_std,asym_model_beta_delta_logK_mean,asym_model_beta_delta_logK_std,asym_model_beta_divergence_time_mean,asym_model_beta_divergence_time_std,asym_model_r2_mean,asym_model_r2_std,asym_model_n_mean,asym_model_n_std,ovule_proxy_beta_intercept_mean,ovule_proxy_beta_intercept_std,ovule_proxy_beta_delta_logO_proxy_mean,ovule_proxy_beta_delta_logO_proxy_std,ovule_proxy_beta_divergence_time_mean,ovule_proxy_beta_divergence_time_std,ovule_proxy_r2_mean,ovule_proxy_r2_std,ovule_proxy_n_mean,ovule_proxy_n_std,post_model_beta_intercept_mean,post_model_beta_intercept_std,post_model_beta_divergence_time_mean,post_model_beta_divergence_time_std,post_model_beta_abs_delta_logK_mean,post_model_beta_abs_delta_logK_std,post_model_r2_mean,post_model_r2_std,post_model_n_mean,post_model_n_std,replicate_mean,replicate_std,n_tips_mean,n_tips_std,mean_K_mean,mean_K_std,median_K_mean,median_K_std,prop_K_gt_1_mean,prop_K_gt_1_std,mean_omega_mean,mean_omega_std,mean_filter_F_mean,mean_filter_F_std,mean_sweeps_mean,mean_sweeps_std,n_pairs_used_mean,n_pairs_used_std,beta_intercept_mean,beta_intercept_std,beta_maternal_logK_mean,beta_maternal_logK_std,beta_divergence_time_mean,beta_divergence_time_std,r2_mean,r2_std,n_mean,n_std
0.6,0.005,pleiotropic,dense_reciprocal,-0.0022108408776576305,0.002990182332422928,0.06545708187139607,0.010023328557709717,0.00469965190172198,0.005208537973695953,0.19478504400516716,0.0062289746498021,1225.0,0.0,0.00022598048767302268,0.006375886855498928,0.029546525885803882,0.004597374083729295,0.0020822362902877117,0.004718444446838352,0.1047866001390076,0.007239589521639325,1225.0,0.0,-0.02089828503765742,0.007316224330946818,0.5145368543223805,0.006515348235354674,-0.010353820163020158,0.001933781839456049,0.70186438765445,0.03984992738878799,1225.0,0.0,1.0,1.0,50.0,0.0,0.34872747815913535,0.09033809919293882,0.3115548216026582,0.09813140682072649,0.006666666666666667,0.011547005383792516,0.006534411057761037,0.005331135966329711,0.4842475066457088,0.08632969477682566,0.07333333333333335,0.03055050463303894,1225.0,0.0,,,,,,,,,,
0.6,0.005,pleiotropic,one_direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,50.0,0.0,0.34872747815913535,0.09033809919293882,0.3115548216026582,0.09813140682072649,0.006666666666666667,0.011547005383792516,0.006534411057761037,0.005331135966329711,0.4842475066457088,0.08632969477682566,0.07333333333333335,0.03055050463303894,1225.0,0.0,0.10536054476148755,0.007503726025722178,0.05848503743237741,0.010506581235216268,0.12965266810072254,0.02453330387295847,0.4294927655876523,0.030140915478234814,1225.0,0.0
0.6,0.005,pleiotropic,pi_pairs,-0.0013185781152765818,0.02335316936015879,0.0432868648648429,0.0453422652893135,0.014283025232494634,0.047626729512941265,0.14561053791036807,0.15700386190970628,25.0,0.0,0.0050305171759913074,0.03252748118219872,0.013793467618175771,0.011775596723133785,-0.0018419914615774604,0.07154996563960006,0.08104766688524234,0.05168677063349708,25.0,0.0,-0.011092306079203742,0.05984298372500835,0.5227648139539904,0.05611013358368028,-0.0008844312447124867,0.10295869498082852,0.7687609917279309,0.04930460592256883,25.0,0.0,1.0,1.0,50.0,0.0,0.34872747815913535,0.09033809919293882,0.3115548216026582,0.09813140682072649,0.006666666666666667,0.011547005383792516,0.006534411057761037,0.005331135966329711,0.4842475066457088,0.08632969477682566,0.07333333333333335,0.03055050463303894,25.0,0.0,,,,,,,,,,
0.6,0.005,pleiotropic,sparse_reciprocal,0.0002957390836372012,0.0011371502515952028,0.06460081616409717,0.009231232691436372,0.00923650076157179,0.0034973225583754624,0.18034962064353954,0.01764488323266232,319.0,18.083141320025124,0.0023944420284757015,0.004549659994680737,0.03238073812651512,0.0030539434670252314,0.007905158949587628,0.006401376323780302,0.11637886715145973,0.03261282226962111,319.0,18.083141320025124,-0.042385249288376385,0.013066374826161678,0.5261411069447332,0.009974882195351087,0.02240609476722817,0.008107510413899658,0.7181183253005878,0.04322152439548291,319.0,18.083141320025124,1.0,1.0,50.0,0.0,0.34872747815913535,0.09033809919293882,0.3115548216026582,0.09813140682072649,0.006666666666666667,0.011547005383792516,0.006534411057761037,0.005331135966329711,0.4842475066457088,0.08632969477682566,0.07333333333333335,0.03055050463303894,319.0,18.083141320025124,,,,,,,,,,
0.6,0.005,pleiotropic,summary_only,-0.0022108408776576305,0.002990182332422928,0.06545708187139607,0.010023328557709717,0.00469965190172198,0.005208537973695953,0.19478504400516716,0.0062289746498021,1225.0,0.0,0.00022598048767302268,0.006375886855498928,0.029546525885803882,0.004597374083729295,0.0020822362902877117,0.004718444446838352,0.1047866001390076,0.007239589521639325,1225.0,0.0,-0.02089828503765742,0.007316224330946818,0.5145368543223805,0.006515348235354674,-0.010353820163020158,0.001933781839456049,0.70186438765445,0.03984992738878799,1225.0,0.0,1.0,1.0,50.0,0.0,0.34872747815913535,0.09033809919293882,0.3115548216026582,0.09813140682072649,0.006666666666666667,0.011547005383792516,0.006534411057761037,0.005331135966329711,0.4842475066457088,0.08632969477682566,0.07333333333333335,0.03055050463303894,1225.0,0.0,,,,,,,,,,
0.6,0.02,independent,dense_reciprocal,-0.002803828287970375,0.001803151981898887,0.047340765917073514,0.00982491070261015,0.0039980531313069875,0.00395373695781551,0.09913044887217648,0.0530752350883779,1225.0,0.0,-0.0020170373634102964,0.003142665553203477,0.018913795228074275,0.007777717316108203,0.0054337700931728515,0.00431078070096906,0.056625228392636985,0.039356632688327654,1225.0,0.0,-0.02457386553704484,0.012381395249549195,0.5106441565992154,0.015078732294004422,-0.0067867328393825645,0.008176968339984339,0.6768035009950629,0.05252253599727982,1225.0,0.0,1.0,1.0,50.0,0.0,1.3608445811046044,0.17658267987976425,1.2269928698527701,0.2066058626813727,0.6266666666666666,0.1137248140615465,0.2178112802583545,0.045851768815120555,0.9142798881690212,0.041454677297400676,0.9266666666666666,0.18583146486355132,1225.0,0.0,,,,,,,,,,
0.6,0.02,independent,one_direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,50.0,0.0,1.3608445811046044,0.17658267987976425,1.2269928698527701,0.2066058626813727,0.6266666666666666,0.1137248140615465,0.2178112802583545,0.045851768815120555,0.9142798881690212,0.041454677297400676,0.9266666666666666,0.18583146486355132,1225.0,0.0,0.029065832586507617,0.0066678674855684406,0.05232473481123922,0.010524946122280329,0.2212555504341791,0.0139268291130175,0.5894743405961232,0.08674438585415456,1225.0,0.0
0.6,0.02,independent,pi_pairs,0.015179784121350133,0.019733109590311427,0.04467887292695796,0.006750796157365542,-0.05051699456501708,0.014133697534183308,0.08645122494336059,0.039249164677505895,25.0,0.0,0.015941900083812657,0.02520630482616402,0.009581057990442142,0.01314156443521819,-0.05232604040026951,0.023760423960859197,0.04783060738687517,0.02939381431704876,25.0,0.0,0.002028866553335231,0.0441888542791159,0.5077717571919836,0.04317053762463064,-0.04886911803952556,0.01287071698894685,0.6953062309083581,0.18765249638433257,25.0,0.0,1.0,1.0,50.0,0.0,1.3608445811046044,0.17658267987976425,1.2269928698527701,0.2066058626813727,0.6266666666666666,0.1137248140615465,0.2178112802583545,0.045851768815120555,0.9142798881690212,0.041454677297400676,0.9266666666666666,0.18583146486355132,25.0,0.0,,,,,,,,,,
0.6,0.02,independent,sparse_reciprocal,0.006943522191732866,0.009712768171127322,0.04446398495692095,0.027591766391078118,-0.00879151993906747,0.023518033312829305,0.10890752200286875,0.11271376668895011,314.6666666666667,9.07377172587746,0.00411481914343129,0.006244321314171465,0.01787879367426132,0.011629712888436249,-0.0032612888069736084,0.019862408371173555,0.06115370237061357,0.056562169764052116,314.6666666666667,9.07377172587746,-0.026463607573497125,0.01938837945767746,0.5002209278019185,0.02139010552080307,-0.00035032990381884347,0.018696639147417937,0.6688299635819055,0.032182983045205046,314.6666666666667,9.07377172587746,1.0,1.0,50.0,0.0,1.3608445811046044,0.17658267987976425,1.2269928698527701,0.2066058626813727,0.6266666666666666,0.1137248140615465,0.2178112802583545,0.045851768815120555,0.9142798881690212,0.041454677297400676,0.9266666666666666,0.18583146486355132,314.6666666666667,9.07377172587746,,,,,,,,,,
0.6,0.02,independent,summary_only,-0.002803828287970375,0.001803151981898887,0.047340765917073514,0.00982491070261015,0.0039980531313069875,0.00395373695781551,0.09913044887217648,0.0530752350883779,1225.0,0.0,-0.0020170373634102964,0.003142665553203477,0.018913795228074275,0.007777717316108203,0.0054337700931728515,0.00431078070096906,0.056625228392636985,0.039356632688327654,1225.0,0.0,-0.02457386553704484,0.012381395249549195,0.5106441565992154,0.015078732294004422,-0.0067867328393825645,0.008176968339984339,0.6768035009950629,0.05252253599727982,1225.0,0.0,1.0,1.0,50.0,0.0,1.3608445811046044,0.17658267987976425,1.2269928698527701,0.2066058626813727,0.6266666666666666,0.1137248140615465,0.2178112802583545,0.045851768815120555,0.9142798881690212,0.041454677297400676,0.9266666666666666,0.18583146486355132,1225.0,0.0,,,,,,,,,,
