data_structure,asym_model_beta_intercept,asym_model_beta_delta_logK,asym_model_beta_divergence_time,asym_model_r2,asym_model_n,ovule_proxy_beta_intercept,ovule_proxy_beta_delta_logO_proxy,ovule_proxy_beta_divergence_time,ovule_proxy_r2,ovule_proxy_n,post_model_beta_intercept,post_model_beta_divergence_time,post_model_beta_abs_delta_logK,post_model_r2,post_model_n,replicate,alpha,psi,architecture,n_tips,mean_K,median_K,prop_K_gt_1,mean_omega,mean_filter_F,mean_sweeps,n_pairs_used,beta_intercept,beta_maternal_logK,beta_divergence_time,r2,n
sparse_reciprocal,-0.006582204343702529,0.04732013628065816,0.015342057808485342,0.1290045082156136,770.0,-0.004074326199411761,0.022422445554343327,0.013942448536130428,0.1189100252818377,770.0,-0.04653503061130756,0.5083044150799082,0.00476848305633491,0.47528602451699486,770.0,7,0.6,0.005,independent,80,0.24992960696066352,0.19554731853702045,0.0,0.0026678086444480893,0.3918986314228724,0.1125,770,,,,,
pi_pairs,-0.017038177979168453,0.08951479608202201,-0.029705777392554894,0.35339871710700366,40.0,-0.0066653704355955825,0.03169858739782154,-0.03176747829354169,0.22431535565944627,40.0,-0.08797962629567764,0.5496915643539241,-0.008156722345086985,0.43182527849059416,40.0,7,0.6,0.005,independent,80,0.24992960696066352,0.19554731853702045,0.0,0.0026678086444480893,0.3918986314228724,0.1125,40,,,,,
one_direction,,,,,,,,,,,,,,,,7,0.6,0.005,independent,80,0.24992960696066352,0.19554731853702045,0.0,0.0026678086444480893,0.3918986314228724,0.1125,3160,0.0856843141489831,0.04850388152360819,0.10972338560289044,0.3506996035262284,3160.0
summary_only,-0.007117091026040101,0.051543959152289,0.013681771090427437,0.14276705642449672,3160.0,-0.0035405296803048577,0.021806957369925092,0.01191107834587402,0.10890169074865808,3160.0,-0.03543696583475958,0.5111286015239709,-0.004124549966949843,0.4918368836201983,3160.0,7,0.6,0.005,independent,80,0.24992960696066352,0.19554731853702045,0.0,0.0026678086444480893,0.3918986314228724,0.1125,3160,,,,,
dense_reciprocal,-0.004809255305016691,0.05123104300354947,0.009713913192203634,0.17198278579806225,3160.0,-0.003898805664122129,0.02292488954889678,0.009270820854268492,0.1332358262857064,3160.0,-0.033436732604168906,0.5177607679700673,-0.00704042935792326,0.6488524217909313,3160.0,0,0.6,0.005,linked,80,0.3064694971630097,0.26532733711146467,0.0,0.0032273350047558463,0.4548697153165568,0.075,3160,,,,,
sparse_reciprocal,-0.001432067481064712,0.049261079355928244,-6.545142461587628e-05,0.16026785001420807,758.0,0.0005686411156624869,0.02191550027987237,-0.0036581517945361492,0.12247253935712465,758.0,-0.03662589478622907,0.5033007146148565,-0.0008351233855956445,0.6530317797101255,758.0,0,0.6,0.005,linked,80,0.3064694971630097,0.26532733711146467,0.0,0.0032273350047558463,0.4548697153165568,0.075,758,,,,,
pi_pairs,0.008009062622153285,0.06465692997689815,-0.019466094474429062,0.30768691931715064,40.0,0.005078650314731694,0.029738134882578385,-0.006574237303930122,0.2893988460298743,40.0,-0.050784373626475206,0.6324266260745193,0.011678368602659474,0.8079469507156869,40.0,0,0.6,0.005,linked,80,0.3064694971630097,0.26532733711146467,0.0,0.0032273350047558463,0.4548697153165568,0.075,40,,,,,
one_direction,,,,,,,,,,,,,,,,0,0.6,0.005,linked,80,0.3064694971630097,0.26532733711146467,0.0,0.0032273350047558463,0.4548697153165568,0.075,3160,0.07060731415600871,0.0437521735112709,0.1175246840856691,0.4030879762750733,3160.0
summary_only,-0.004809255305016691,0.05123104300354947,0.009713913192203634,0.17198278579806225,3160.0,-0.003898805664122129,0.02292488954889678,0.009270820854268492,0.1332358262857064,3160.0,-0.033436732604168906,0.5177607679700673,-0.00704042935792326,0.6488524217909313,3160.0,0,0.6,0.005,linked,80,0.3064694971630097,0.26532733711146467,0.0,0.0032273350047558463,0.4548697153165568,0.075,3160,,,,,
dense_reciprocal,-0.0019161322847756697,0.04340523471237997,-0.0011931018702326683,0.10722294862477888,3160.0,-0.00011128450663631716,0.015404491268458982,-0.002876144192818768,0.04088651679544053,3160.0,-0.034949826275356484,0.5232786918089847,-0.0027616643571313436,0.6360333578271578,3160.0,1,0.6,0.005,linked,80,0.22969861418781487,0.20534630318415587,0.0,0.0013250370388724559,0.37609991338014714,0.0625,3160,,,,,
sparse_reciprocal,0.0015434289896841117,0.047040682068809694,-0.003291962648107896,0.12392927138203591,778.0,0.001343858152504672,0.018803787705450097,-0.0013098693344262902,0.05907051781256745,778.0,-0.05405776087984953,0.532753269179058,0.014665157113726157,0.6659402947912842,778.0,1,0.6,0.005,linked,80,0.22969861418781487,0.20534630318415587,0.0,0.0013250370388724559,0.37609991338014714,0.0625,778,,,,,
pi_pairs,0.003184298343955395,0.03832560105862724,-0.02197851013766573,0.09830491713742062,40.0,0.0037248076657635776,0.005672842078984268,-0.025669554462102454,0.027507685138160043,40.0,0.04760115023705563,0.4792924091732712,-0.18765029290079052,0.6952486829008586,40.0,1,0.6,0.005,linked,80,0.22969861418781487,0.20534630318415587,0.0,0.0013250370388724559,0.37609991338014714,0.0625,40,,,,,
one_direction,,,,,,,,,,,,,,,,1,0.6,0.005,linked,80,0.22969861418781487,0.20534630318415587,0.0,0.0013250370388724559,0.37609991338014714,0.0625,3160,0.07595464207522144,0.0412357728821867,0.10321586592778606,0.3926038586391881,3160.0
summary_only,-0.0019161322847756697,0.04340523471237997,-0.0011931018702326683,0.10722294862477888,3160.0,-0.00011128450663631716,0.015404491268458982,-0.002876144192818768,0.04088651679544053,3160.0,-0.034949826275356484,0.5232786918089847,-0.0027616643571313436,0.6360333578271578,3160.0,1,0.6,0.005,linked,80,0.22969861418781487,0.20534630318415587,0.0,0.0013250370388724559,0.37609991338014714,0.0625,3160,,,,,
dense_reciprocal,-0.0018470562469321407,0.06284200009307833,-0.0011140416595779802,0.1859373987180477,3160.0,0.0030543930742444754,0.027924301804430493,-0.001300828128148208,0.10724563081066718,3160.0,-0.035647692354653954,0.5210667351378839,-0.004325216576625322,0.5642958088957586,3160.0,2,0.6,0.005,linked,80,0.2610069780536154,0.2180334088814619,0.0125,0.004218909855783183,0.3886232198450256,0.0625,3160,,,,,
sparse_reciprocal,-0.0006505230424864034,0.0739520374004917,-0.005837270779803452,0.2367447619317895,788.0,0.00757953692011194,0.033233794531424804,-0.008061864775265343,0.1375279226891123,788.0,-0.034183115694419404,0.5100411178781102,0.007145073225393576,0.562313134060872,788.0,2,0.6,0.005,linked,80,0.2610069780536154,0.2180334088814619,0.0125,0.004218909855783183,0.3886232198450256,0.0625,788,,,,,
pi_pairs,-0.012989968794865542,0.01915318647467945,0.0562793539211819,0.10281341716225578,40.0,-0.01289031994136835,0.003926793695384824,0.05844520233238229,0.0784408962512364,40.0,-0.0511770295125995,0.513930547509257,0.02685956228768913,0.6949422403264329,40.0,2,0.6,0.005,linked,80,0.2610069780536154,0.2180334088814619,0.0125,0.004218909855783183,0.3886232198450256,0.0625,40,,,,,
