replicate,species_i,species_j,tip_i,tip_j,state_i,state_j,divergence_time,ovules_i,ovules_j,logO_i,logO_j,K_i,K_j,logK_i,logK_j,delta_logK_i_minus_j,delta_logO_j_minus_i,filter_i,filter_j,mismatch_D,Rpre_i_from_j,Rpre_j_from_i,asym_i_minus_j,Rpost,BDM_count,N_seed_i_from_j,N_seed_j_from_i,seeds_i_from_j,seeds_j_from_i,observed_Rpre_i_from_j,observed_Rpre_j_from_i,observed_asym_i_minus_j,N_post,post_success,observed_Rpost
0,sp_000,sp_022,0,22,many,many,0.007298055227166911,131.55271398933323,155.70645355445623,4.87940763813121,5.047972526628741,0.4239715834455515,0.5579228418802478,-0.8580888461717177,-0.5835346023621341,-0.2745542438095836,0.16856488849753148,0.5696963849597553,0.556760885095566,0.048258641076786554,0.027118286810439374,0.026510776146831838,0.0006075106636075356,0.0,0,1316,1557,1283,1470,0.025075987841945313,0.055876685934489356,-0.030800698092544043,50,50,0.0
0,sp_000,sp_023,0,23,many,few,0.268464193545815,131.55271398933323,24.87255945496181,4.87940763813121,3.2137651658679793,0.4239715834455515,1.5432907270773704,-0.8580888461717177,0.4339169724036302,-1.2920058185753478,-1.6656424722632304,0.5696963849597553,1.0407621526645623,0.24392970927828567,0.1297422732505107,0.22420953091679074,-0.09446725766628006,0.0,0,1316,249,1172,199,0.10942249240121582,0.20080321285140568,-0.09138072045018986,50,50,0.0
0,sp_000,sp_024,0,24,many,many,0.038933399455623866,131.55271398933323,128.26139638308106,4.87940763813121,4.854070340789794,0.4239715834455515,0.8968397979115234,-0.8580888461717177,-0.10887803051981602,-0.7492108156519016,-0.025337297341415876,0.5696963849597553,0.8350972272535968,0.07871826389291106,0.043854815060740515,0.0636232791257253,-0.01976846406498478,0.0,0,1316,1283,1272,1202,0.033434650455927084,0.06313328137178487,-0.029698630915857782,50,50,0.0
0,sp_000,sp_025,0,25,many,many,1.0,131.55271398933323,197.43655273399344,4.87940763813121,5.285417280748925,0.4239715834455515,0.7635037303467359,-0.8580888461717177,-0.2698372684850439,-0.5882515776866737,0.40600964261771555,0.5696963849597553,0.7854605874057352,0.34352798332611867,0.177746592852418,0.23648895761066924,-0.05874236475825123,0.0,0,1316,1974,1038,1645,0.21124620060790278,0.16666666666666663,0.04457953394123615,50,50,0.0
0,sp_000,sp_026,0,26,many,few,0.268464193545815,131.55271398933323,41.24041023414885,4.87940763813121,3.719418606581069,0.4239715834455515,1.7028667000313855,-0.8580888461717177,0.5323131250006792,-1.390401971172397,-1.1599890315501407,0.5696963849597553,1.0435248311573961,0.5160156044947437,0.2547028078148188,0.4163624349227001,-0.1616596271078813,0.0,0,1316,412,1131,293,0.14057750759878418,0.28883495145631066,-0.14825744385752648,50,50,0.0
0,sp_000,sp_027,0,27,many,many,0.038933399455623866,131.55271398933323,150.93736310371247,4.87940763813121,5.016864936873147,0.4239715834455515,0.5899604554046117,-0.8580888461717177,-0.5276997690665762,-0.3303890771051414,0.13745729874193735,0.5696963849597553,0.6352079401067,0.048474937932867196,0.027238161350374712,0.03032243064654372,-0.0030842692961690066,0.0,0,1316,1509,1286,1509,0.022796352583586588,0.0,0.022796352583586588,50,50,0.0
0,sp_000,sp_028,0,28,many,many,0.038933399455623866,131.55271398933323,115.61129960105094,4.87940763813121,4.750233698875245,0.4239715834455515,0.6867451949625916,-0.8580888461717177,-0.37579195080940164,-0.482296895362316,-0.12917393925596432,0.5696963849597553,0.9435606327759747,0.05777760618914685,0.03237986706441476,0.05305728121801556,-0.020677414153600804,0.0,0,1316,1156,1222,1132,0.0714285714285714,0.02076124567474047,0.05066732575383093,50,50,0.0
0,sp_000,sp_029,0,29,many,many,1.0,131.55271398933323,145.71787498611553,4.87940763813121,4.98167238917729,0.4239715834455515,0.9912497413277239,-0.8580888461717177,-0.008788766988751272,-0.8493000791829663,0.10226475104608035,0.5696963849597553,0.8405285402647878,0.38661149709301945,0.19768274719962242,0.27744229762174355,-0.07975955042212113,0.5276334472589853,3,1316,1457,1070,812,0.18693009118541037,0.4426904598490048,-0.2557603686635944,50,19,0.62
0,sp_000,sp_030,0,30,many,many,1.0,131.55271398933323,143.2239889140381,4.87940763813121,4.9644097608460065,0.4239715834455515,0.9898652532127091,-0.8580888461717177,-0.010186452982967971,-0.8479023931887497,0.08500212271479679,0.5696963849597553,0.8529748165722152,0.39032053438651193,0.19937627386094825,0.2831822008474577,-0.08380592698650946,0.22119921692859512,1,1316,1432,1084,1153,0.17629179331306988,0.19483240223463683,-0.018540608921566948,50,40,0.19999999999999996
0,sp_000,sp_031,0,31,many,many,1.0,131.55271398933323,222.56665343374996,4.87940763813121,5.405226622739743,0.4239715834455515,0.514249618371682,-0.8580888461717177,-0.6650464925559437,-0.19304235361577393,0.5258189846085335,0.5696963849597553,0.6517185982467576,0.31477522366768146,0.16416688330144946,0.18547069098643942,-0.02130380768498996,0.22119921692859512,1,1316,2226,1230,1818,0.06534954407294835,0.18328840970350402,-0.11793886563055567,50,42,0.16000000000000003
