family,retained_pairs,reciprocal_inter_pairs,directional_RI_pairs,asymmetry_pairs_with_ovules,asymmetry_pairs_with_nonzero_ovule_difference,unique_signed_log10_ovule_differences,high_confidence_asymmetry_pairs_conf_le_2,high_confidence_nonzero_ovule_difference,unique_high_confidence_signed_log10_ovule_differences,strict_PI_K2P_asymmetry_pairs,strict_PI_K2P_high_confidence_pairs,species_in_reciprocal_pairs,species_in_asymmetry_ovule_pairs,genera_in_asymmetry_ovule_pairs,top_genus_in_asymmetry_set,top_genus_asymmetry_pairs,top_genus_share_of_asymmetry_pairs,asymmetry_pair_network_density_within_family_species,max_times_one_species_reused_in_asymmetry_pairs,family_has_at_least_2_asymmetry_pairs_and_2_ovule_differences,family_has_at_least_3_asymmetry_pairs_and_2_ovule_differences,family_has_at_least_5_asymmetry_pairs_and_2_ovule_differences
Costaceae,16,10,10,2,2,2,0,0,0,1,0,10,3,1,Costus,2,1.0,0.6666666666666666,2,True,False,False
Araceae,3,2,2,2,1,2,0,0,0,1,0,3,3,1,Arisaema,2,1.0,0.6666666666666666,2,True,False,False
Convolvulaceae,2,2,2,2,0,1,2,0,1,2,2,4,4,1,Ipomoea,2,1.0,0.3333333333333333,1,False,False,False
Lamiaceae,2,2,2,2,0,1,2,0,1,2,2,4,4,1,Salvia,2,1.0,0.3333333333333333,1,False,False,False
Myrtaceae,22,2,2,2,2,2,1,1,1,2,1,4,4,2,Corymbia,1,0.5,0.3333333333333333,1,True,False,False
Casuarinaceae,3,3,1,1,0,1,1,0,1,0,0,3,2,1,Casuarina,1,1.0,1.0,1,False,False,False
Primulaceae,2,2,2,1,1,1,1,1,1,1,1,4,2,1,Primula,1,1.0,1.0,1,False,False,False
Amaryllidaceae,1,1,1,1,0,1,0,0,0,1,0,2,2,1,Narcissus,1,1.0,1.0,1,False,False,False
Asphodelaceae,1,1,1,1,1,1,1,1,1,0,0,2,2,1,Hemerocallis,1,1.0,1.0,1,False,False,False
Bignoniaceae,1,1,1,1,1,1,1,1,1,1,1,2,2,1,Adenocalymma,1,1.0,1.0,1,False,False,False
Bromeliaceae,1,1,1,1,1,1,0,0,0,0,0,2,2,1,Vriesea,1,1.0,1.0,1,False,False,False
Calceolariaceae,1,1,1,1,1,1,0,0,0,1,0,2,2,1,Calceolaria,1,1.0,1.0,1,False,False,False
Geraniaceae,1,1,1,1,0,1,1,0,1,1,1,2,2,1,Pelargonium,1,1.0,1.0,1,False,False,False
Iridaceae,3,1,1,1,0,1,0,0,0,0,0,2,2,1,Iris,1,1.0,1.0,1,False,False,False
Melanthiaceae,1,1,1,1,0,1,0,0,0,1,0,2,2,1,Trillium,1,1.0,1.0,1,False,False,False
Potamogetonaceae,1,1,1,1,0,1,1,0,1,1,1,2,2,1,Potamogeton,1,1.0,1.0,1,False,False,False
Rhamnaceae,1,1,1,1,0,1,1,0,1,1,1,2,2,1,Ziziphus,1,1.0,1.0,1,False,False,False
Rubiaceae,1,1,1,1,1,1,1,1,1,1,1,2,2,1,Mussaenda,1,1.0,1.0,1,False,False,False
Scrophulariaceae,1,1,1,1,1,1,1,1,1,1,1,2,2,1,Buddleja,1,1.0,1.0,1,False,False,False
Zingiberaceae,1,1,1,1,1,1,0,0,0,1,0,2,2,1,Roscoea,1,1.0,1.0,1,False,False,False
Loasaceae,15,11,11,0,0,0,0,0,0,0,0,7,0,0,,0,,,0,False,False,False
Apocynaceae,4,4,0,0,0,0,0,0,0,0,0,4,0,0,,0,,,0,False,False,False
Orobanchaceae,5,3,3,0,0,0,0,0,0,0,0,5,0,0,,0,,,0,False,False,False
Cactaceae,1,1,1,0,0,0,0,0,0,0,0,2,0,0,,0,,,0,False,False,False
Stylidiaceae,1,1,1,0,0,0,0,0,0,0,0,2,0,0,,0,,,0,False,False,False
Lythraceae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,False,False,False
Malvaceae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,False,False,False
Poaceae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,False,False,False
Verbenaceae,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,False,False,False
