family,genus,species1,species2,pair_key,PI_name,is_PI_from_PI_name,measure,intraspecific_value_sp1,intraspecific_value_sp2,interspecific_value_sp1_sp2,interspecific_value_sp2_sp1,has_directional_RI_inputs,directional_RI_sp1_mother,directional_RI_sp2_mother,directional_RI_asymmetry_sp1_minus_sp2,ovule_sp1,ovule_sp2,confidence_sp1,confidence_sp2,has_both_ovules,both_confidence_le_2,signed_log10_ovule_ratio_sp1_minus_sp2,abs_log10_ovule_difference,nonzero_ovule_difference,has_K2P,K2P_Distance,asymmetry_model_ready,asymmetry_model_ready_confidence_le_2,strict_PI_K2P_asymmetry_ready
Fabaceae,Chamaecrista,Chamaecrista chapadae,Chamaecrista blanchetii,chamaecrista blanchetii || chamaecrista chapadae,,False,seed set,0.3572,2.128,0.0,0.0,True,1.0,1.0,0.0,7.5,12.0,1.0,1.0,True,True,-0.2041199826559248,0.2041199826559248,True,False,,True,True,False
Fabaceae,Chamaecrista,Chamaecrista chapadae,Chamaecrista confertiformis,chamaecrista chapadae || chamaecrista confertiformis,,False,seed set,0.3572,0.625,0.0,0.0,True,1.0,1.0,0.0,7.5,10.5,1.0,1.0,True,True,-0.14612803567823796,0.14612803567823796,True,False,,True,True,False
Fabaceae,Chamaecrista,Chamaecrista glaucofilix,Chamaecrista blanchetii,chamaecrista blanchetii || chamaecrista glaucofilix,,False,seed set,2.2752,2.128,0.0,0.0,True,1.0,1.0,0.0,7.5,12.0,1.0,1.0,True,True,-0.2041199826559248,0.2041199826559248,True,False,,True,True,False
Fabaceae,Chamaecrista,Chamaecrista glaucofilix,Chamaecrista confertiformis,chamaecrista confertiformis || chamaecrista glaucofilix,,False,seed set,2.2752,0.625,0.0,0.0,True,1.0,1.0,0.0,7.5,10.5,1.0,1.0,True,True,-0.14612803567823796,0.14612803567823796,True,False,,True,True,False
Orchidaceae,Chiloglottis,Chiloglottis valida,Chiloglottis jeanesii,chiloglottis jeanesii || chiloglottis valida,Chiloglottis,True,seed set,71.7,84.2,82.1,88.3,True,-0.14504881450488138,-0.04869358669833712,-0.09635522780654426,,,5.0,5.0,False,False,,,False,False,,False,False,False
Onagraceae,Clarkia,Clarkia borealis,Clarkia mildrediae,clarkia borealis || clarkia mildrediae,Clarkia01,True,seed set,79.2,100.0,91.7,66.3,True,-0.15782828282828287,0.3370000000000001,-0.49482828282828295,,,4.0,4.0,False,False,,,False,False,,False,False,False
Onagraceae,Clarkia,Clarkia borealis,Clarkia australis,clarkia australis || clarkia borealis,,False,seed set,79.2,91.3,69.2,41.0,True,0.1262626262626263,0.5509309967141292,-0.42466837045150285,,,4.0,4.0,False,False,,,False,False,,False,False,False
Onagraceae,Clarkia,Clarkia borealis,Clarkia mosquinii,clarkia borealis || clarkia mosquinii,,False,seed set,79.2,100.0,11.3,32.5,True,0.8573232323232323,0.675,0.18232323232323222,,,4.0,4.0,False,False,,,False,False,,False,False,False
Onagraceae,Clarkia,Clarkia borealis,Clarkia virgata,clarkia borealis || clarkia virgata,,False,seed set,79.2,74.2,7.83,4.11,True,0.9011363636363636,0.9446091644204851,-0.043472800784121524,,,4.0,4.0,False,False,,,False,False,,False,False,False
Onagraceae,Clarkia,Clarkia mildrediae,Clarkia australis,clarkia australis || clarkia mildrediae,,False,seed set,100.0,91.3,40.0,57.5,True,0.6,0.3702081051478642,0.2297918948521358,,,4.0,4.0,False,False,,,False,False,,False,False,False
Onagraceae,Clarkia,Clarkia mildrediae,Clarkia mosquinii,clarkia mildrediae || clarkia mosquinii,,False,seed set,100.0,100.0,0.0,30.0,True,1.0,0.7,0.30000000000000004,,,4.0,4.0,False,False,,,False,False,,False,False,False
Onagraceae,Clarkia,Clarkia mildrediae,Clarkia virgata,clarkia mildrediae || clarkia virgata,,False,seed set,100.0,74.2,0.0,2.86,True,1.0,0.961455525606469,0.038544474393531036,,,4.0,4.0,False,False,,,False,False,,False,False,False
Onagraceae,Clarkia,Clarkia mosquinii,Clarkia australis,clarkia australis || clarkia mosquinii,,False,seed set,100.0,91.3,47.5,60.0,True,0.525,0.34282584884994527,0.18217415115005475,,,4.0,4.0,False,False,,,False,False,,False,False,False
Onagraceae,Clarkia,Clarkia mosquinii,Clarkia virgata,clarkia mosquinii || clarkia virgata,,False,seed set,100.0,74.2,47.9,55.7,True,0.521,0.2493261455525606,0.2716738544474394,,,4.0,4.0,False,False,,,False,False,,False,False,False
Onagraceae,Clarkia,Clarkia tembloriensis,Clarkia exilis,clarkia exilis || clarkia tembloriensis,Clarkia02,True,seed set,39.85,37.0,43.2,47.0,True,-0.0840652446675032,-0.2702702702702702,0.18620502560276697,91.6,115.4,1.0,1.0,True,True,-0.10031033515186216,0.10031033515186216,True,False,,True,True,False
Onagraceae,Clarkia,Clarkia tembloriensis,Clarkia unguiculata,clarkia tembloriensis || clarkia unguiculata,,False,seed set,39.85,58.4,0.9,12.5,True,0.9774153074027604,0.785958904109589,0.19145640329317137,91.6,93.1,1.0,1.0,True,True,-0.007054207313492267,0.007054207313492267,True,False,,True,True,False
Onagraceae,Clarkia,Clarkia unguiculata,Clarkia exilis,clarkia exilis || clarkia unguiculata,,False,seed set,58.4,37.0,7.9,2.4,True,0.8647260273972602,0.9351351351351351,-0.0704091077378749,93.1,115.4,1.0,1.0,True,True,-0.0932561278383699,0.0932561278383699,True,False,,True,True,False
Onagraceae,Clarkia,Clarkia virgata,Clarkia australis,clarkia australis || clarkia virgata,Clarkia03,True,seed set,74.2,91.3,11.9,11.8,True,0.839622641509434,0.8707557502738226,-0.031133108764388573,,,4.0,4.0,False,False,,,False,False,,False,False,False
